Melissa Le Dréau Groupe 13 Thème : L'interaction et la manipulation de l'homme liées aux capteurs / Capteurs indirect (interaction sans la manipulation) et Capteurs direct (touchId..),,,,,,,,,,,,,
Nomenclature d'image,Titre ,"Description 
(Max 300 caractères)",Type , Lien vidéo (si nécessaire)  ,Mode de fonctionnement ,Année ,Décénnie ,"Système
 (L'ordinateur, nom de modèle, système d'explotation)",Entreprise / Environement de recherche,Inventeur/Artiste,Type de document ,Source (lien) ,Tags
img1311,Interrupteur/ Detecteur sonore,"C'est un détecteur qui capte le son pour fonctionner et se mettre en marche. Des capteurs détectent les bruits. La mise au point du premier appareil capable de reconnaître des paroles remonte à 1950, soit près de 20 ans avant la naissance du premier ordinateur.",éléctrique & technologique,https://www.youtube.com/watch?v=GsOTgZ1e8OQ,absolu,1950,50,capteurs,,,, https://www.youtube.com/watch?v=GsOTgZ1e8OQ,voice found 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Capteur direct,,,,,,,,,,,,
,Capteur indirect,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Autres réferences,,,,,,,,,,,,,
,Multiplicity ,"Multiplicity révèle une nouvelle vision d'un paysage photographique de l'attention et des intérêts. À quoi ressemble Paris à travers l'objectif de milliers de photographes? Quels sont les points chauds de l'attraction, quels sont les coins négligés? Que sont les poses et les tropes récurrents? ","Ecran  de projection,  ordinateur",https://youtu.be/57wj8diYpgY?t=88,Relatif,2018,,Ordinateur,/,Moritz Stefan,Vidéo de démonstration,https://history-computer.com/ModernComputer/Software/Sketchpad.html,"people, photo, paris"
,All Over,"Cette œuvre est une série d'images réalisées uniquement avec des caractères typographiques, à la manière de ""l’Ascii Art”, méthode d’affichage utilisée par les premiers informaticiens.Mais, ici, les chiffres et les lettres qui composent ces images sont changeants et dynamiques : ils proviennent en temps réel des flux boursiers mondiaux. Au préalable fixes, ces photographies ainsi transformées sont tributaires des mouvements financiers qui les alimentent en même temps qu’ils les perturbent. ",image interractive,https://www.youtube.com/watch?v=HxH7dontSAU,Absolu,2009,,ordinateur,/,Samuel Bianchini,vidéo de l'exposition,http://www.vintagecomputing.com/index.php/archives/356/retro-scan-of-the-week-the-hp-150-touchscreen-computer,
,migraiton in motion (détecteur indirect),"Migration en mouvement: visualisation des mouvements d'espèces dus au changement climatique.  Dan Majka, a donné vie à ces données dans une série de cartes qui montrent les couloirs que les mammifères, les amphibiens et les autres animaux utiliseront lorsqu'ils se déplaceront vers de nouveaux habitats sous le changement climatique prévu. Inspirée des cartes des vents des États-Unis et utilisant le code de la carte mondiale des vents de la Terre , adaptée par Chris Helm , la carte dynamique de Majka permet aux scientifiques et au public de voir l'impact du changement climatique sur les animaux à l'échelle du continent","création internet à travers un ordinateur, carte interractive",http://maps.tnc.org/migrations-in-motion/#4/19.00/-78.00,Relatif,2016,,Ordinateur MapBox Studio,équipe scientifique de la région Amérique du nord TNC Science,Dan Majka,carte interractive en temps réel,https://dynamis.no/apple-mouse-collection/,"Climat , Migrations , TNC Science, animals"
,Leave no trace,"Animation accompagnement les sonneries de téléphone, créées spécialement pour l'événement de snowboard sponsorisé par nokia",animation et vidéo,https://vimeo.com/1920984 https://vimeo.com/13389496,Absolu ,2014,,Nokia modèle N91,Nokia,Jérémy Hofmeister,vidéos des animations et vidéo de la pub de snowboard,https://www.previeux.net/fr/videos_WSWDNSeq2.html,snowboard forms trace movements
,Art ASCII,Il consiste à réaliser des images uniquement à l'aide des lettres et caractères spéciaux  contenus dans le code ASCII.,"mouvement, image",,,1966,,Ordinateur ,Studies in Perception I / Bell Labs, Kenneth Knowlton (bell labs),,,art numérique forme image
