"Meg Nathanson, Eva Gougam, Lucie Wax, Zoé Klein, Mathilde Courtes - THEME : Liens entre pensée et machines",,,,,,,,,,,,,
Nomenclature d'image,Titre ,"Description 
(Max 300 caractères)",Type , Lien vidéo (si nécessaire)  ,Mode de fonctionnement ,Année ,Décénnie ,"Système
 (L'ordinateur, nom de modèle, système d'explotation)",Entreprise / Environement de recherche,Inventeur/Artiste,Type de document ,Source (lien) ,Tags
img0114.jpg,Télépathie via internet ,"C’est une expérience étonnante, la première du genre, qui a été menée par une équipe de chercheurs de l’université de l’état de Washington. Ils ont réussi à connecter deux cerveaux humains reliés par Internet, le premier arrivant à deviner ce que l’autre avait en tête.
""Nous présentons ce qui est à notre connaissance la première démonstration qu’une interface de cerveau à cerveau non invasive peut être utilisée pour permettre à un être humain de deviner ce qu’un autre être humain a à l’esprit"". Les premiers mots du papier scientifique d’Andrea Stocco et de son équipe en imposent.
",Expérience ,https://www.bfmtv.com/tech/vie-numerique/des-chercheurs-montrent-qu-il-est-possible-de-communiquer-par-telepathie-via-internet_AN-201509270016.html,Absolu ,2015,10-20,"Internet, casque",Université de Washington,,Vidéo,https://youtu.be/wMY1acFZHxA,#telepathie #cerveau #message #internet 
img0115.jpg,Building 8,"Image de Mark Zuckerberg jouant à Spider-man avec un nouveau procédé de gants prototypes (dont les mouvements sont traqués par des caméras professionnelles OptiTrack Prime 17W). Building 8 est un projet démarré en 2016 et redistribué entre plusieurs équipes et entreprises en 2018. C'est un projet géré par Facebook et en plus de son interface cerveau-ordinateur, l'entreprise travaille sur un large éventail de projets secrets qui utilisent la technologie d'une manière jamais imaginée auparavant. Il s'agit notamment de méthodes spéciales pour donner un sens au toucher et recâbler le cerveau des gens.

La société a présenté certains des projets de l'unité secrète lors d'un discours à sa conférence F8. Jusqu'à présent, le travail de l'équipe est resté totalement secret, ne se manifestant que dans des offres d'emploi et d'autres publications.",Projet de recherche,/,Absolu ,2016,10,"Casque, gants, structure...",Oculus Research lab,,Photographie,https://www.independent.co.uk/life-style/gadgets-and-tech/news/facebook-mind-reading-brain-technology-building-8-regina-dugan-pentagon-a7692481.html,#braincomputerinterface #pensee #facebook #controle #cerveau
img0116.jpg,The Matrix,"Thomas A. Anderson, un jeune informaticien connu dans le monde du hacking sous le pseudonyme de Neo, est contacté via son ordinateur par ce qu’il pense être un groupe de hackers. Ils lui font découvrir que le monde dans lequel il vit n’est qu’un monde virtuel dans lequel les êtres humains sont gardés inconsciemment sous contrôle. Morpheus, le capitaine du Nebuchadnezzar, contacte Néo et pense que celui-ci est l’Élu qui peut libérer les êtres humains du joug des machines et prendre le contrôle de la matrice (selon ses croyances et ses convictions).",Science-fiction,https://www.youtube.com/watch?v=vKQi3bBA1y8,Absolu,1999,90,Machine,"Warner Bros.
Village Roadshow Pictures
Groucho II Film Partnership
Silver Pictures",Les Wachowski,Film,,#controle #science-fiction #robot #cerveau
img0117.jpg,"Electric Dreams, s.01 e.01","Cela fait un an que le massacre a eu lieu, et Sarah est toujours traumatisée. Sa petite amie Katie lui propose de ""partir en vacances"" pour se détendre en dormant, grâce à une puce électronique à implanter dans le cerveau. Elle se réveille dans la peau de George, en deuil depuis un an après le meurtre de sa femme Katie, qui utilise un casque spécial pour rêver qu'il est dans la peau d'une autre, une dénommée Sarah. Sarah commence peu à peu à douter : et si elle était George, qui s'inventait Sarah? Et si Sarah était en train de rêver George ?",Science-fiction,https://www.youtube.com/watch?v=RtX_LVwEJhA,Absolu,2017-2018,10-20,,Sony pictures television,Philipp K. Dinck,Épisode,https://www.primevideo.com/detail/0TEKZVLTXDF4H8MD5N9RUHGO9H/ref=atv_sr_def_c_unkc__1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B07847ZMMH&qid=1607958323,#science-fiction #controle #cerveau #reve 
img0118.jpg,"BrainNet, une interface entre cerveaux pour jouer à Tetris par la pensée","Des chercheurs de l'université de Washington ont créé la première interface de cerveau à cerveau qui a permis à trois personnes de collaborer via les ondes cérébrales pour jouer à Tetris.Pour cette expérimentation, trois volontaires devaient jouer à Tetris en se tenant dans des pièces séparées et sans voir ce que les autres faisaient. Deux personnes munies d'un casque EEG étaient chargées d'émettre les commandes pour la troisième. Sur un écran, elles observaient les briques en train de tomber et devaient décider s'il fallait ou non les faire pivoter pour les insérer correctement dans le bloc inférieur. Pour indiquer au troisième joueur l'action à accomplir, les deux « émetteurs » devaient fixer des LED situées sur le côté de l'écran, l'une travaillant à 15 Hz, l'autre à 17 Hz.",Expérience / jeu,https://www.futura-sciences.com/tech/actualites/technologie-brainnet-interface-cerveaux-jouer-tetris-pensee-55929/,Absolu,2013,10-20,Dispositif cérébral,,Linxing Jiang et  Andrea Stocco (et plus),Photographie,https://arxiv.org/pdf/1809.08632.pdf,#jeuvideo #cerveau
img0119.jpg,Johny Mnemonic,"Johnny est un messager qui transporte, dans son cerveau, des données informatiques pour le compte de toute sorte de clients soucieux de se protéger des fuites ou des intrusions.
Pour sa dernière mission, il accepte une surcharge qui pourrait lui coûter la mémoire et la raison. Les commanditaires sont des transfuges d'une grande multinationale et eux seuls connaissent le code qui permettrait de le libérer. Quand ils sont tués, Johnny doit à tout prix trouver un moyen de découvrir ce code, afin de se décharger de cet amas de données, au demeurant très convoitées. Il est poursuivi par des yakuzas à la solde d'un certain Takahashi.",Science-fiction,https://youtu.be/UzRjtvMQds4?t=74,Absolu,1995,90,"Casque, Gants",Production : Alliance Communications Distribution : TriStar Pictures,Robert Longo & William Gibson,Capture du film,https://www.imdb.com/title/tt0113481/,#braincomputerinterface #science-fiction #controle #cerveau
img0120.jpg,Playtest - Black mirror,"Dans cet épisode horrifique, Brooker s’interroge sur les dangers des jeux à réalité augmentée, de plus en plus communs dans notre société. Quand commence le rêve et où s’arrête la réalité ? Dans ""Playtest"", Wyatt Russell accepte de participer à une expérimentation. Alors que les scientifiques l’emmènent dans des niveaux de plus en plus profonds, le jeune homme devient fou et veut s’extirper de l’expérience. Quand il y parvient et qu’il rentre chez lui, le téléspectateur comprend qu’il est mort dès le début de l’expérience et que le jeu est devenu sa nouvelle réalité...",Expérience - Série,https://www.youtube.com/watch?v=WXw_a-MmbNg,Relatif/Absolu (dépend de l'utilisation),2016,,"Casque, Dispositif cérébral ","Distribution: Channel 4, Netflix",Charlie Brooker,Série,https://www.imdb.com/title/tt5709242/,#jeuvideo 
img0121.jpg,"Télépathie : quand l'humain pense, le robot exécute",La Massachusetts Institute of Technology a mené une expérience permettant de développer une forme de télépathie entre un humain et un robot. Une collaboration qui pourrait ouvrir des pistes dans le cadre du travail.,Expérience,https://youtu.be/Zd9WhJPa2Ok,Absolu,2017,,casque / machine ,CSAIL) de la réputée Massachusetts Institute of Technology en collaboration avec l'Université de Boston.,,Vidéo,,#braincomputerinterface #controle
img0122.jpg,Awakening: un jeu vidéo en VR contrôlé par le cerveau,"Neurable crée le tout premier jeu vidéo en réalité virtuelle contrôlé par l'activité cérébrale via une interface neuronale directe. Intitulé Awakening, il a été codéveloppé avec l'éditeur espagnol eStudiofuture et s'utilise avec un casque HTC Vive muni d'électrodes. Le jeu s'inspire de la série Stranger Things : un enfant doté de pouvoirs télékinésiques prisonnier d'un laboratoire doit s'échapper en manipulant des objets, en déviant des tirs de laser et en combattant des robots, le tout sans manette de jeu.",Jeu vidéo,https://www.youtube.com/watch?v=UuIkioUZ5zo,Absolu,2017,10-20,Casque EEG + casque VR,Neurable,Ramses Alcaide,Vidéo de présentation,https://www.youtube.com/watch?v=VNx9hKeYuc0,#braincomputerinterface #jeuvideo #casqueEEG #controle #VR
img0123.png,La première prothèse dirigée par l'esprit,"Bill Kochevar, 56 ans, qui a perdu l'usage de presque tout son corps lorsqu'il a été blessé dans un accident de vélo il y a huit ans, a fait installer des électrodes sur la partie de son cerveau qui contrôle ses capacités motrices. Ces électrodes étaient connectées à une interface cerveau-ordinateur, qui peut interpréter ses pensées et envoyer des messages à d'autres électrodes conçues pour stimuler les muscles de son bras et de sa main droits. Le résultat est que M. Kochevar, de Cleveland, Ohio, est maintenant capable de manger de la purée de pommes de terre avec une fourchette ou de boire du café simplement en pensant à l'envie de le faire.",Prothèse,https://www.independent.co.uk/news/science/paralysed-man-moves-arm-first-time-years-using-brain-implant-can-read-his-thoughts-a7654761.html?jwsource=cl,Absolu,2015,10,Dispositif d'interface neuronale intracorticale,"National Institutes of Health, Department of Veterans Affairs","
Dr A Bolu Ajiboye",Capture de Vidéo,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(17)30601-3/fulltext?elsca1=tlpr,#braincomputerinterface #prothese #neurones #handicap
img0124.jpg,Cerebro,"Cerebro est un dispositif technologique de fiction apparaissant dans la série de comic books sur les X-Men, une équipe de super-héros évoluant dans l'univers Marvel de la maison d'édition Marvel Comics. Sa capacité majeure est de décupler la puissance des pouvoirs des télépathes, permettant entre autres d'améliorer la détection des mutants à travers le monde. Ordinateur de haute technologie créé par le Professeur Charles Xavier avec l'aide de Magnéto (et plus tard amélioré par Henry McCoy, alias Le Fauve), Cerebro est situé dans le Manoir des X-Men à l'Institut Xavier. En temps normal, il est utilisé par Xavier, mais d'autres personnages l'ont parfois utilisé dans les comics et autres versions, comme Jean Grey ou Emma Frost.",Science-fiction,https://www.youtube.com/watch?v=xxUrC5-EsGc,Absolu,1964,60,"Casque pour télépathe, amplifie leur ""pouvoir""",,"Stann Lee
Jack Kirby",,https://penntoday.upenn.edu/news/brain-machine-interfaces-villainous-gadgets-or-tools-next-generation-superheroes,#telepathie #casque #detection #cerveau
img0125.jpg,Brain-machine interfaces: Villainous gadgets or tools for next-gen superheroes?,"A Q&A with neuroscientist Konrad Kording on how connections between minds and machines are portrayed in popular culture, and what the future holds for this reality-defying technology.",,,,2019,10-20,Les machines de demain,School of Engineering & Applied Science,"Erica K. Brockmeier
Writer",Article,https://penntoday.upenn.edu/news/brain-machine-interfaces-villainous-gadgets-or-tools-next-generation-superheroes,
